Index,Angle,Y
0.566,8.50,1669
0.568,8.53,1669
0.570,8.55,1669
0.572,8.58,1669
0.574,8.61,1669
0.576,8.64,1669
0.578,8.67,1669
0.580,8.70,1669
0.582,8.73,1669
0.584,8.76,1668
0.586,8.79,1668
0.588,8.82,1668
0.590,8.85,1668
0.592,8.88,1668
0.594,8.91,1668
0.596,8.94,1668
0.598,8.96,1668
0.600,8.99,1667
0.602,9.02,1667
0.604,9.05,1667
0.605,9.08,1667
0.607,9.11,1667
0.609,9.14,1667
0.611,9.17,1666
0.613,9.20,1666
0.615,9.23,1666
0.617,9.26,1666
0.619,9.29,1666
0.621,9.32,1665
0.623,9.35,1665
0.625,9.38,1665
0.627,9.40,1665
0.629,9.43,1664
0.631,9.46,1664
0.633,9.49,1664
0.635,9.52,1664
0.637,9.55,1663
0.639,9.58,1663
0.641,9.61,1663
0.643,9.64,1663
0.645,9.67,1662
0.646,9.70,1662
0.648,9.73,1662
0.650,9.76,1662
0.652,9.79,1661
0.654,9.81,1661
0.656,9.84,1661
0.658,9.87,1660
0.660,9.90,1660
0.662,9.93,1660
0.664,9.96,1659
0.666,9.99,1659
0.668,10.02,1659
0.670,10.05,1658
0.672,10.08,1658
0.674,10.11,1658
0.676,10.14,1657
0.678,10.17,1657
0.680,10.20,1657
0.682,10.22,1656
0.684,10.25,1656
0.686,10.28,1656
0.688,10.31,1655
0.689,10.34,1655
0.691,10.37,1654
0.693,10.40,1654
0.695,10.43,1654
0.697,10.46,1653
0.699,10.49,1653
0.701,10.52,1652
0.703,10.55,1652
0.705,10.58,1652
0.707,10.61,1651
0.709,10.63,1651
0.711,10.66,1650
0.713,10.69,1650
0.715,10.72,1649
0.717,10.75,1649
0.719,10.78,1648
0.721,10.81,1648
0.723,10.84,1647
0.725,10.87,1647
0.727,10.90,1646
0.729,10.93,1646
0.730,10.96,1646
0.732,10.99,1645
0.734,11.02,1644
0.736,11.04,1644
0.738,11.07,1643
0.740,11.10,1643
0.742,11.13,1642
0.744,11.16,1642
0.746,11.19,1641
0.748,11.22,1641
0.750,11.25,1640
0.752,11.28,1640
0.754,11.31,1639
0.756,11.34,1639
0.758,11.37,1638
0.760,11.40,1637
0.762,11.43,1637
0.764,11.46,1636
0.766,11.48,1636
0.768,11.51,1635
0.770,11.54,1635
0.771,11.57,1634
0.773,11.60,1633
0.775,11.63,1633
0.777,11.66,1632
0.779,11.69,1631
0.781,11.72,1631
0.783,11.75,1630
0.785,11.78,1630
0.787,11.81,1629
0.789,11.84,1628
0.791,11.87,1628
0.793,11.89,1627
0.795,11.92,1626
0.797,11.95,1626
0.799,11.98,1625
0.801,12.01,1624
0.803,12.04,1624
0.805,12.07,1623
0.807,12.10,1622
0.809,12.13,1622
0.811,12.16,1621
0.813,12.19,1620
0.814,12.22,1619
0.816,12.25,1619
0.818,12.28,1618
0.820,12.30,1617
0.822,12.33,1616
0.824,12.36,1616
0.826,12.39,1615
0.828,12.42,1614
0.830,12.45,1614
0.832,12.48,1613
0.834,12.51,1612
0.836,12.54,1611
0.838,12.57,1610
0.840,12.60,1610
0.842,12.63,1609
0.844,12.66,1608
0.846,12.69,1607
0.848,12.71,1606
0.850,12.74,1606
0.852,12.77,1605
0.854,12.80,1604
0.855,12.83,1603
0.857,12.86,1602
0.859,12.89,1602
0.861,12.92,1601
0.863,12.95,1600
0.865,12.98,1599
0.867,13.01,1598
0.869,13.04,1597
0.871,13.07,1596
0.873,13.10,1596
0.875,13.13,1595
0.877,13.15,1594
0.879,13.18,1593
0.881,13.21,1592
0.883,13.24,1591
0.885,13.27,1590
0.887,13.30,1589
0.889,13.33,1588
0.891,13.36,1588
0.893,13.39,1587
0.895,13.42,1586
0.896,13.45,1585
0.898,13.48,1584
0.900,13.51,1583
0.902,13.54,1582
0.904,13.56,1581
0.906,13.59,1580
0.908,13.62,1579
0.910,13.65,1578
0.912,13.68,1577
0.914,13.71,1576
0.916,13.74,1575
0.918,13.77,1574
0.920,13.80,1573
0.922,13.83,1572
0.924,13.86,1571
0.926,13.89,1570
0.928,13.92,1569
0.930,13.95,1568
0.932,13.97,1567
0.934,14.00,1566
0.936,14.03,1565
0.938,14.06,1564
0.939,14.09,1563
0.941,14.12,1562
0.943,14.15,1561
0.945,14.18,1560
0.947,14.21,1559
0.949,14.24,1558
0.951,14.27,1557
0.953,14.30,1556
0.955,14.33,1554
0.957,14.36,1553
0.959,14.38,1552
0.961,14.41,1551
0.963,14.44,1550
0.965,14.47,1549
0.967,14.50,1548
0.969,14.53,1547
0.971,14.56,1546
0.973,14.59,1544
0.975,14.62,1543
0.977,14.65,1542
0.979,14.68,1541
0.980,14.71,1540
0.982,14.74,1539
0.984,14.77,1537
0.986,14.79,1536
0.988,14.82,1535
0.990,14.85,1534
0.992,14.88,1533
0.994,14.91,1532
0.996,14.94,1530
0.998,14.97,1529
1.000,15.00,1516
1.002,15.03,1518
1.004,15.06,1519
1.006,15.09,1520
1.008,15.12,1522
1.010,15.15,1523
1.012,15.18,1524
1.014,15.21,1526
1.016,15.23,1527
1.018,15.26,1528
1.020,15.29,1529
1.021,15.32,1531
1.023,15.35,1532
1.025,15.38,1533
1.027,15.41,1535
1.029,15.44,1536
1.031,15.47,1537
1.033,15.50,1538
1.035,15.53,1540
1.037,15.56,1541
1.039,15.59,1542
1.041,15.62,1543
1.043,15.64,1545
1.045,15.67,1546
1.047,15.70,1547
1.049,15.73,1548
1.051,15.76,1550
1.053,15.79,1551
1.055,15.82,1552
1.057,15.85,1553
1.059,15.88,1554
1.061,15.91,1555
1.063,15.94,1557
1.064,15.97,1558
1.066,16.00,1559
1.068,16.03,1560
1.070,16.05,1561
1.072,16.08,1562
1.074,16.11,1563
1.076,16.14,1565
1.078,16.17,1566
1.080,16.20,1567
1.082,16.23,1568
1.084,16.26,1569
1.086,16.29,1571
1.088,16.32,1571
1.090,16.35,1573
1.092,16.38,1573
1.094,16.41,1575
1.096,16.44,1576
1.098,16.46,1577
1.100,16.49,1578
1.102,16.52,1579
1.104,16.55,1580
1.105,16.58,1581
1.107,16.61,1582
1.109,16.64,1583
1.111,16.67,1584
1.113,16.70,1586
1.115,16.73,1586
1.117,16.76,1587
1.119,16.79,1588
1.121,16.82,1589
1.123,16.85,1590
1.125,16.88,1591
1.127,16.90,1593
1.129,16.93,1593
1.131,16.96,1594
1.133,16.99,1595
1.135,17.02,1596
1.137,17.05,1597
1.139,17.08,1598
1.141,17.11,1599
1.143,17.14,1600
1.145,17.17,1601
1.146,17.20,1602
1.148,17.23,1604
1.150,17.26,1604
1.152,17.29,1605
1.154,17.31,1606
1.156,17.34,1607
1.158,17.37,1608
1.160,17.40,1609
1.162,17.43,1610
1.164,17.46,1611
1.166,17.49,1611
1.168,17.52,1612
1.170,17.55,1613
1.172,17.58,1614
1.174,17.61,1615
1.176,17.64,1616
1.178,17.67,1617
1.180,17.70,1618
1.182,17.72,1619
1.184,17.75,1619
1.186,17.78,1620
1.188,17.81,1621
1.189,17.84,1622
1.191,17.87,1623
1.193,17.90,1624
1.195,17.93,1624
1.197,17.96,1625
1.199,17.99,1626
1.201,18.02,1627
1.203,18.05,1628
1.205,18.08,1628
1.207,18.11,1629
1.209,18.13,1630
1.211,18.16,1631
1.213,18.19,1632
1.215,18.22,1632
1.217,18.25,1633
1.219,18.28,1634
1.221,18.31,1635
1.223,18.34,1635
1.225,18.37,1636
1.227,18.40,1637
1.229,18.43,1638
1.230,18.46,1639
1.232,18.49,1639
1.234,18.52,1640
1.236,18.54,1641
1.238,18.57,1641
1.240,18.60,1642
1.242,18.63,1643
1.244,18.66,1643
1.246,18.69,1644
1.248,18.72,1645
1.250,18.75,1645
1.252,18.78,1646
1.254,18.81,1647
1.256,18.84,1647
1.258,18.87,1648
1.260,18.90,1649
1.262,18.93,1649
1.264,18.96,1650
1.266,18.98,1651
1.268,19.01,1652
1.270,19.04,1652
1.271,19.07,1653
1.273,19.10,1653
1.275,19.13,1654
1.277,19.16,1655
1.279,19.19,1655
1.281,19.22,1656
1.283,19.25,1656
1.285,19.28,1657
1.287,19.31,1657
1.289,19.34,1658
1.291,19.37,1659
1.293,19.39,1659
1.295,19.42,1660
1.297,19.45,1661
1.299,19.48,1662
1.301,19.51,1663
1.303,19.54,1664
1.305,19.57,1664
1.307,19.60,1664
1.309,19.63,1664
1.311,19.66,1664
1.313,19.69,1665
1.314,19.72,1665
1.316,19.75,1666
1.318,19.78,1666
1.320,19.80,1667
1.322,19.83,1667
1.324,19.86,1668
1.326,19.89,1668
1.328,19.92,1669
1.330,19.95,1669
1.332,19.98,1670
1.334,20.01,1670
1.336,20.04,1670
1.338,20.07,1671
1.340,20.10,1671
1.342,20.13,1672
1.344,20.16,1672
1.346,20.19,1673
1.348,20.21,1673
1.350,20.24,1674
1.352,20.27,1674
1.354,20.30,1674
1.355,20.33,1675
1.357,20.36,1675
1.359,20.39,1676
1.361,20.42,1676
1.363,20.45,1676
1.365,20.48,1677
1.367,20.51,1677
1.369,20.54,1677
1.371,20.57,1678
1.373,20.60,1678
1.375,20.63,1678
1.377,20.65,1679
1.379,20.68,1679
1.381,20.71,1680
1.383,20.74,1680
1.385,20.77,1680
1.387,20.80,1681
1.389,20.83,1681
1.391,20.86,1681
1.393,20.89,1681
1.395,20.92,1682
1.396,20.95,1682
1.398,20.98,1682
1.400,21.01,1683
1.402,21.04,1683
1.404,21.06,1683
1.406,21.09,1683
1.408,21.12,1684
1.410,21.15,1684
1.412,21.18,1684
1.414,21.21,1684
1.416,21.24,1685
1.418,21.27,1685
1.420,21.30,1685
1.422,21.33,1685
1.424,21.36,1686
1.426,21.39,1686
1.428,21.42,1686
1.430,21.45,1686
1.432,21.47,1687
1.434,21.50,1687
1.436,21.53,1687
1.438,21.56,1687
1.439,21.59,1687
1.441,21.62,1688
1.443,21.65,1688
1.445,21.68,1688
1.447,21.71,1688
1.449,21.74,1688
1.451,21.77,1688
1.453,21.80,1689
1.455,21.83,1689
1.457,21.86,1689
1.459,21.88,1689
1.461,21.91,1689
1.463,21.94,1689
1.465,21.97,1689
1.467,22.00,1690
1.469,22.03,1690
1.471,22.06,1690
1.473,22.09,1690
1.475,22.12,1690
1.477,22.15,1690
1.479,22.18,1690
1.480,22.21,1690
1.482,22.24,1690
1.484,22.27,1690
1.486,22.29,1690
1.488,22.32,1690
1.490,22.35,1690
1.492,22.38,1690
1.494,22.41,1691
1.496,22.44,1691
1.498,22.47,1691
1.500,22.50,1691
1.502,22.53,1691
1.504,22.56,1691
1.506,22.59,1691
1.508,22.62,1691
1.510,22.65,1691
1.512,22.68,1691
1.514,22.71,1691
1.516,22.73,1691
1.518,22.76,1691
1.520,22.79,1691
1.521,22.82,1691
1.523,22.85,1691
1.525,22.88,1691
1.527,22.91,1691
1.529,22.94,1691
1.531,22.97,1690
1.533,23.00,1690
